timestamp,open,high,low,close,volume,funding_rate
2024-01-01T00:00:00Z,42000,42400,41800,42200,100,0
2024-01-01T01:00:00Z,42200,42600,42100,42500,110,0
2024-01-01T02:00:00Z,42500,42900,42400,42800,120,0.0001
2024-01-01T03:00:00Z,42800,43100,42700,43000,90,0
2024-01-01T04:00:00Z,43000,43200,42600,42700,130,0
2024-01-01T05:00:00Z,42700,42800,42100,42300,140,0
2024-01-01T06:00:00Z,42300,42400,41700,41900,125,0
2024-01-01T07:00:00Z,41900,42300,41800,42200,115,0
2024-01-01T08:00:00Z,42200,42700,42100,42600,135,0
2024-01-01T09:00:00Z,42600,43200,42500,43100,150,0
2024-01-01T10:00:00Z,43100,43400,42900,43300,145,0.0001
2024-01-01T11:00:00Z,43300,43500,43000,43100,105,0
